Laptop,Costprice,Sellingprice
"DELL Inspiron 5406 2-IN-1 Core I7 512GB SSD 12GB RAM 14"" TOUCHSCREEN WIN11 BACKLIT Keyboard",575000,690000
DELL Latitude 3310 Core I3 128GB SSD 8GB RAM WINS 10 Pro,300000,360000
"DELL Inspiron 15.6"" Touchscreen 11th Gen Core I5 16gb 1TB, Windows 11,  I5-1135G7",455000,546000
"DELL Inspiron 5410-5149SLV 2-IN-1 Core I5 512GB SSD 8GB RAM 14"" TOUCHSCREEN WIN11 BACKLIT Keyboard",470000,564000
DELL Vostro 14 10th Gen Intel Core I3 1TB HDD 8GB RAM Windows 10,265000,318000
DELL Latitude 3189 X360 INTEL PENTIUM 128GB SSD 4GB  WINS 10 Pro+ Flashdrive,118000,141600
"DELL Essential Laptop Backpack Toploader, For Work, Office And Leisure",5000,6000
"DELL Precision 3561 11th Gen Intel Core I5 512 SSD,16GB RAM Backlit Keys Wins 10 Pro+ Mouse",490500,588600
DELL Latitude 3310 Core I3 256GB SSD 8GB RAM WINS 10 Pro,270000,324000
DELL Vostro 3401 14'' FHD(10th Gen Core I3 1TB HDD - 12GB RAM Windows 10 Pro,263000,315600
"DELL LATITUDE 7320 CORE I7 , 3.0GHZ  16GB,512SSD,Touch Screen ,Backlit Keyboard Win10 Pro",850000,1020000
"DELL Precision 3561 11th Gen Intel Core I5 256 SSD,8GB RAM Backlit Keys Wins 11 Pro",385000,462000
